đầu tư trực tiếp nước ngoài theo ngành 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
	 CN nặng 	122	537765108	171284767
	 CN nhẹ 	114	265588480	121875955
	 CN thực phẩm 	17	138608935	17826124
	 Xây dựng 	8	90244354	37628958
II	Nông-Lâm-Ngư nghiệp	32	111480000	30198870
	 Nông-Lâm nghiệp 	29	107420000	29098870
	 Thủy sản 	3	4060000	1100000
III	Dịch vụ 	35	122656777	47005227
	 GTVT-Bưu điện 	3	7251000	253000
	 Khách sạn-Du lịch 	7	80734300	22660098
	 Văn hóa-Ytế-Giáo dục 	11	17051477	14988000
	 XD Văn phòng-Căn hộ 	4	8760000	5800000
	 Dịch vụ khác	10	8860000	3304129
Tổng số		328	1266343654	425819901
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư				
				
tăng vốn 8 tháng - 2005 phân theo nước, vùng lãnh thổ				
(tính tới ngày 22/8/2005)				
				
STT	Nước, vùng lãnh thổ	Số lượt	TVĐT tăng	Vốn PĐ tăng
1	 Nhật Bản 	59	381249430	143852562
2	 Đài Loan 	71	183976510	59964104
3	 Hàn Quốc 	72	152676696	61091734
4	 Cayman Islands 	4	89568668	7380000
5	 BritishVirginIslands 	17	79114470	25861418
6	 Hồng Kông 	18	66654382	37880078
7	 Hoa Kỳ 	9	65661000	28800693
8	 Malaysia 	12	48416023	8559098
9	 Singapore 	17	36993390	14585881
10	 Thái Lan 	5	30867000	72841
11	 Hà Lan 	1	25000000	7000000
12	 Trung Quốc 	14	22020100	10940424
13	 Australia 	5	21472600	3370000
14	 Thụy Sỹ 	2	20195000	195000
15	 Bahamas 	1	7500000	2250000
16	 Indonesia 	1	7000000	2000000
17	 CHLB Đức 	3	6858500	2278500
18	 Mauritius 	3	6000000	3500000
19	 Saint Vincent 	1	4500000	400000
20	 Đan Mạch 	2	2534000	620000
21	 Samoa 	1	2200000	700000
22	 Canada 	1	2000000	700000
23	 Na Uy 	1	1536486	1953460
24	 Belize 	1	1000000	560000
25	 Vương quốc Anh 	1	460000	0
26	 Guinea Bissau 	1	446979	929979
27	 Philippines 	1	200000	200000
28	 Pháp 	2	142420	124129
29	 Brunei 	1	100000	0
30	 Bỉ 	1	0	50000
Tổng số		328	1266343654	425819901
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư				
				
tăng vốn 8 tháng - 2005 phân theo địa phương				
(tính tới ngày 22/8/2005)				
				
STT	Địa phương	Số lượt	TVĐT tăng	Vốn PĐ tăng
1	 Đồng Nai 	65	328169194	126058972
2	 Hà Nội 	38	230219531	94115674
3	 Bình Dương 	88	227960420	60165896
4	 TP Hồ Chí Minh 	62	150741945	55191359
5	 Vĩnh Phúc 	7	86528000	26400000
6	 Hải Phòng 	14	76866423	23791000
7	 Hưng Yên 	3	34200000	2600000
8	 Thừa Thiên-Huế 	2	30477868	815000
9	 Hải Dương 	7	26640000	3390000
10	 Quảng Nam 	2	15000000	3500000
11	 Quảng Ninh 	6	12700000	6600000
12	 Đà Nẵng 	5	12341400	2974129
13	 Long An 	4	6200000	1900000
14	 Phú Thọ 	6	3918270	1239419
15	 Thái Nguyên 	1	3900000	4058000
16	 Cần Thơ 	1	3200000	0
17	 Lâm Đồng 	2	2850000	1500000
18	 Lạng Sơn 	1	2800000	2500000
19	 Lào Cai 	2	2494000	1720000
20	 Bắc Giang 	2	2485820	1099720
21	 Bà Rịa-Vũng Tàu 	4	2250000	3383000
22	 Tây Ninh 	2	2200000	1600000
23	 Bình Phước 	1	1235000	500000
24	 Hà Tây 	2	627783	667732
25	 Bắc Ninh 	1	338000	50000
Tổng số		328	1266343654	425819901
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư
